species,length,weight,w_l_ratio
Climbing perch,7.29,3.28,0.45
Climbing perch,9.21,3.37,0.37
Climbing perch,6.84,3.26,0.48
Climbing perch,8.39,3.15,0.38
Climbing perch,7.74,3.16,0.41
Climbing perch,8.49,3.33,0.39
Climbing perch,6.53,3.31,0.51
Climbing perch,7.19,3.2,0.44
Climbing perch,8.48,3.28,0.39
Climbing perch,6.98,3.31,0.47
Climbing perch,7.42,3.24,0.44
Climbing perch,8.06,3.29,0.41
Climbing perch,10.14,3.33,0.33
Climbing perch,9.41,3.18,0.34
Climbing perch,6.89,3.16,0.46
Climbing perch,8.23,3.14,0.38
Climbing perch,6.67,3.33,0.5
Climbing perch,7.36,3.13,0.43
Climbing perch,9.9,3.37,0.34
Climbing perch,8.41,3.31,0.39
Climbing perch,8.95,3.26,0.36
Climbing perch,6.53,3.05,0.47
Climbing perch,10.78,3.26,0.3
Climbing perch,9.66,3.36,0.35
Climbing perch,8.35,3.31,0.4
Climbing perch,6.87,3.14,0.46
Climbing perch,6.86,3.22,0.47
Climbing perch,8.54,3.24,0.38
Climbing perch,8.12,3.1,0.38
Climbing perch,10.31,3.2,0.31
Climbing perch,6.71,3.31,0.49
Climbing perch,9.47,3.44,0.36
Climbing perch,8.71,3.36,0.39
Climbing perch,7.9,3.16,0.4
Climbing perch,9.68,3.51,0.36
Climbing perch,8.92,3.24,0.36
Climbing perch,8.02,3.28,0.41
Climbing perch,8.79,3.36,0.38
Climbing perch,7.4,3.21,0.43
Climbing perch,7.36,3.22,0.44
Climbing perch,7.17,3.18,0.44
Climbing perch,7.49,3.08,0.41
Climbing perch,7.71,3.16,0.41
Climbing perch,7.69,3.16,0.41
Climbing perch,6.98,3.08,0.44
Climbing perch,9.47,3.53,0.37
Climbing perch,7.71,3.28,0.42
Climbing perch,6.75,3.22,0.48
Climbing perch,7.3,3.26,0.45
Climbing perch,8.73,3.33,0.38
Climbing perch,7.22,3.12,0.43
Climbing perch,7.05,3.34,0.47
Climbing perch,8.91,3.2,0.36
Climbing perch,8.1,3.19,0.39
Climbing perch,7.16,3.25,0.45
Climbing perch,7.06,3.23,0.46
Climbing perch,6.39,3.21,0.5
Climbing perch,8.94,3.18,0.36
Climbing perch,6.61,3.1,0.47
Climbing perch,6.58,3.15,0.48
Climbing perch,7.05,3.24,0.46
Climbing perch,8.0,3.34,0.42
Climbing perch,8.45,3.32,0.39
Climbing perch,7.8,3.15,0.4
Climbing perch,9.17,3.38,0.37
Climbing perch,9.24,3.11,0.34
Climbing perch,7.55,3.34,0.44
Climbing perch,7.33,3.16,0.43
Climbing perch,8.59,3.19,0.37
Climbing perch,7.94,3.23,0.41
Climbing perch,10.2,3.5,0.34
Climbing perch,7.48,3.21,0.43
Climbing perch,8.63,3.31,0.38
Climbing perch,8.66,3.35,0.39
Climbing perch,7.72,3.17,0.41
Climbing perch,6.52,3.35,0.51
Climbing perch,7.98,3.14,0.39
Climbing perch,10.62,3.45,0.33
Climbing perch,7.47,3.22,0.43
Climbing perch,7.51,3.18,0.42
Climbing perch,8.17,3.28,0.4
Climbing perch,7.84,3.17,0.4
Climbing perch,8.98,3.26,0.36
Climbing perch,8.65,3.34,0.39
Climbing perch,9.18,3.38,0.37
Climbing perch,8.98,3.26,0.36
Climbing perch,7.37,3.14,0.43
Climbing perch,7.95,3.37,0.42
Climbing perch,7.66,3.36,0.44
Climbing perch,8.8,3.42,0.39
Climbing perch,9.27,3.36,0.36
Climbing perch,7.05,3.24,0.46
Climbing perch,7.66,3.32,0.43
Climbing perch,9.13,3.32,0.36
Climbing perch,7.24,3.25,0.45
Climbing perch,7.58,3.23,0.43
Climbing perch,7.4,3.29,0.44
Climbing perch,8.68,3.38,0.39
Climbing perch,8.17,3.28,0.4
Climbing perch,10.45,3.46,0.33
Climbing perch,9.59,3.35,0.35
Climbing perch,8.27,3.15,0.38
Climbing perch,10.42,3.38,0.32
Climbing perch,7.76,3.22,0.42
Climbing perch,7.35,3.1,0.42
Climbing perch,8.42,3.27,0.39
Climbing perch,9.43,3.33,0.35
Climbing perch,9.63,3.27,0.34
Climbing perch,8.46,3.28,0.39
Climbing perch,6.72,3.14,0.47
Climbing perch,7.06,3.28,0.46
Climbing perch,8.82,3.25,0.37
Climbing perch,10.22,3.45,0.34
Climbing perch,9.39,3.38,0.36
Climbing perch,9.5,3.36,0.35
Climbing perch,9.87,3.35,0.34
Climbing perch,7.17,3.39,0.47
Climbing perch,7.64,3.38,0.44
Climbing perch,10.35,3.44,0.33
Climbing perch,8.22,3.22,0.39
Climbing perch,6.55,3.27,0.5
Climbing perch,7.01,3.24,0.46
Climbing perch,10.16,3.38,0.33
Climbing perch,6.37,3.25,0.51
Climbing perch,7.15,3.2,0.45
Climbing perch,9.85,3.25,0.33
Climbing perch,7.32,3.28,0.45
Climbing perch,8.47,3.44,0.41
Climbing perch,8.67,3.31,0.38
Climbing perch,9.26,3.34,0.36
Climbing perch,8.59,3.18,0.37
Climbing perch,7.76,3.24,0.42
Climbing perch,7.8,3.34,0.43
Climbing perch,6.88,3.34,0.48
Climbing perch,7.52,3.09,0.41
Climbing perch,7.35,3.22,0.44
Climbing perch,10.39,3.27,0.31
Climbing perch,6.86,3.15,0.46
Climbing perch,7.23,3.16,0.44
Climbing perch,8.1,3.27,0.4
Climbing perch,9.1,3.3,0.36
Climbing perch,8.57,3.36,0.39
Climbing perch,7.17,3.16,0.44
Climbing perch,7.73,3.17,0.41
Climbing perch,8.57,3.16,0.37
Climbing perch,8.11,3.06,0.38
Climbing perch,7.97,3.24,0.41
Climbing perch,8.26,3.26,0.39
Climbing perch,7.7,3.34,0.43
Climbing perch,8.4,3.27,0.39
Climbing perch,7.57,3.16,0.42
Climbing perch,7.0,3.21,0.46
Climbing perch,6.6,3.17,0.48
Climbing perch,8.92,3.24,0.36
Climbing perch,9.65,3.21,0.33
Climbing perch,7.98,3.22,0.4
Climbing perch,6.54,3.43,0.52
Climbing perch,8.34,3.12,0.37
Climbing perch,6.43,3.21,0.5
Climbing perch,10.19,3.32,0.33
Climbing perch,7.53,3.34,0.44
Climbing perch,7.44,3.11,0.42
Climbing perch,9.12,3.42,0.38
Climbing perch,8.24,3.37,0.41
Climbing perch,8.83,3.27,0.37
Climbing perch,7.94,3.18,0.4
Climbing perch,9.66,3.51,0.36
Climbing perch,8.11,3.1,0.38
Climbing perch,7.28,3.13,0.43
Climbing perch,7.29,3.36,0.46
Climbing perch,6.67,3.27,0.49
Climbing perch,9.5,3.42,0.36
Climbing perch,10.04,3.41,0.34
Climbing perch,9.31,3.39,0.36
Climbing perch,8.89,3.21,0.36
Climbing perch,7.92,3.38,0.43
Climbing perch,10.04,3.51,0.35
Climbing perch,7.21,3.26,0.45
Climbing perch,8.47,3.34,0.39
Climbing perch,7.03,3.34,0.48
Climbing perch,7.76,3.29,0.42
Climbing perch,7.47,3.34,0.45
Climbing perch,8.19,3.21,0.39
Climbing perch,8.64,3.29,0.38
Climbing perch,7.56,3.31,0.44
Climbing perch,9.64,3.41,0.35
Climbing perch,11.01,3.47,0.31
Climbing perch,10.37,3.45,0.33
Climbing perch,8.81,3.19,0.36
Climbing perch,9.2,3.12,0.34
Climbing perch,6.98,3.43,0.49
Climbing perch,8.89,3.36,0.38
Climbing perch,6.76,3.16,0.47
Climbing perch,9.82,3.17,0.32
Climbing perch,8.47,3.25,0.38
Climbing perch,9.35,3.44,0.37
Climbing perch,7.97,3.28,0.41
Climbing perch,7.71,3.34,0.43
Climbing perch,6.74,3.23,0.48
Climbing perch,9.78,3.29,0.34
Climbing perch,7.33,3.39,0.46
Climbing perch,7.55,3.06,0.41
Climbing perch,9.45,3.34,0.35
Climbing perch,7.19,3.15,0.44
Climbing perch,6.81,3.27,0.48
Climbing perch,7.66,3.24,0.42
Climbing perch,8.42,3.18,0.38
Climbing perch,10.52,3.46,0.33
Climbing perch,7.9,3.21,0.41
Climbing perch,7.28,3.08,0.42
Climbing perch,8.98,3.25,0.36
Climbing perch,7.12,3.25,0.46
Climbing perch,7.52,3.29,0.44
Climbing perch,8.47,3.32,0.39
Climbing perch,10.15,3.33,0.33
Climbing perch,6.72,3.19,0.48
Climbing perch,6.65,3.26,0.49
Climbing perch,8.57,3.58,0.42
Climbing perch,7.04,3.09,0.44
Climbing perch,7.57,3.26,0.43
Climbing perch,6.85,3.22,0.47
Climbing perch,9.18,3.14,0.34
Climbing perch,7.7,3.38,0.44
Climbing perch,9.95,3.29,0.33
Climbing perch,8.47,3.32,0.39
Climbing perch,7.06,3.12,0.44
Climbing perch,6.96,3.25,0.47
Climbing perch,7.97,3.28,0.41
Climbing perch,8.74,3.35,0.38
Climbing perch,6.89,3.27,0.48
Climbing perch,6.9,3.18,0.46
Climbing perch,8.5,3.4,0.4
Climbing perch,10.02,3.21,0.32
Climbing perch,9.03,3.17,0.35
Climbing perch,6.91,3.17,0.46
Climbing perch,7.28,3.08,0.42
Climbing perch,8.35,3.27,0.39
Climbing perch,8.18,3.25,0.4
Climbing perch,6.98,3.22,0.46
Climbing perch,6.39,3.37,0.53
Climbing perch,7.34,3.22,0.44
Climbing perch,8.42,3.15,0.37
Climbing perch,7.09,3.18,0.45
Climbing perch,9.65,3.24,0.34
Climbing perch,7.37,3.19,0.43
Climbing perch,9.12,3.08,0.34
Goldspotted grenadier anchovy,23.27,2.43,0.1
Goldspotted grenadier anchovy,24.15,2.34,0.1
Goldspotted grenadier anchovy,25.16,2.87,0.11
Goldspotted grenadier anchovy,24.21,2.61,0.11
Goldspotted grenadier anchovy,25.0,3.06,0.12
Goldspotted grenadier anchovy,22.97,2.55,0.11
Goldspotted grenadier anchovy,24.17,2.3,0.1
Goldspotted grenadier anchovy,23.81,2.8,0.12
Goldspotted grenadier anchovy,24.68,2.42,0.1
Goldspotted grenadier anchovy,24.24,2.46,0.1
Goldspotted grenadier anchovy,23.78,2.48,0.1
Goldspotted grenadier anchovy,23.15,2.76,0.12
Goldspotted grenadier anchovy,23.9,3.01,0.13
Goldspotted grenadier anchovy,24.96,2.56,0.1
Goldspotted grenadier anchovy,25.45,3.23,0.13
Goldspotted grenadier anchovy,24.88,2.7,0.11
Goldspotted grenadier anchovy,24.44,2.75,0.11
Goldspotted grenadier anchovy,23.75,3.0,0.13
Goldspotted grenadier anchovy,24.09,3.11,0.13
Goldspotted grenadier anchovy,23.62,2.54,0.11
Goldspotted grenadier anchovy,25.08,2.53,0.1
Goldspotted grenadier anchovy,24.54,2.66,0.11
Goldspotted grenadier anchovy,24.21,2.86,0.12
Goldspotted grenadier anchovy,23.62,3.17,0.13
Goldspotted grenadier anchovy,24.94,2.89,0.12
Goldspotted grenadier anchovy,25.46,2.93,0.12
Goldspotted grenadier anchovy,25.19,3.23,0.13
Goldspotted grenadier anchovy,23.5,2.77,0.12
Goldspotted grenadier anchovy,25.08,2.93,0.12
Goldspotted grenadier anchovy,23.19,2.88,0.12
Goldspotted grenadier anchovy,24.19,2.72,0.11
Goldspotted grenadier anchovy,23.93,2.72,0.11
Goldspotted grenadier anchovy,24.85,2.34,0.09
Goldspotted grenadier anchovy,24.21,2.34,0.1
Goldspotted grenadier anchovy,24.67,3.29,0.13
Goldspotted grenadier anchovy,25.43,2.24,0.09
Goldspotted grenadier anchovy,25.05,2.84,0.11
Goldspotted grenadier anchovy,24.89,2.86,0.12
Goldspotted grenadier anchovy,25.43,3.13,0.12
Goldspotted grenadier anchovy,24.31,2.69,0.11
Goldspotted grenadier anchovy,24.78,2.63,0.11
Goldspotted grenadier anchovy,24.81,2.78,0.11
Goldspotted grenadier anchovy,24.37,2.6,0.11
Goldspotted grenadier anchovy,23.5,2.79,0.12
Goldspotted grenadier anchovy,23.97,3.03,0.13
Goldspotted grenadier anchovy,24.6,3.05,0.12
Goldspotted grenadier anchovy,24.59,2.67,0.11
Goldspotted grenadier anchovy,25.3,2.8,0.11
Goldspotted grenadier anchovy,23.66,3.02,0.13
Goldspotted grenadier anchovy,23.64,2.55,0.11
Goldspotted grenadier anchovy,24.52,2.77,0.11
Goldspotted grenadier anchovy,23.66,2.62,0.11
Goldspotted grenadier anchovy,24.64,2.76,0.11
Goldspotted grenadier anchovy,24.0,2.69,0.11
Goldspotted grenadier anchovy,23.68,2.63,0.11
Goldspotted grenadier anchovy,23.52,2.41,0.1
Goldspotted grenadier anchovy,24.6,2.66,0.11
Goldspotted grenadier anchovy,24.63,3.08,0.12
Goldspotted grenadier anchovy,23.83,2.93,0.12
Goldspotted grenadier anchovy,23.56,3.15,0.13
Goldspotted grenadier anchovy,24.23,2.72,0.11
Goldspotted grenadier anchovy,23.71,2.96,0.12
Goldspotted grenadier anchovy,24.25,2.74,0.11
Goldspotted grenadier anchovy,25.0,2.76,0.11
Goldspotted grenadier anchovy,25.08,2.67,0.11
Goldspotted grenadier anchovy,25.19,2.9,0.12
Goldspotted grenadier anchovy,24.75,2.67,0.11
Goldspotted grenadier anchovy,23.7,2.93,0.12
Goldspotted grenadier anchovy,23.14,2.43,0.1
Goldspotted grenadier anchovy,24.33,2.85,0.12
Goldspotted grenadier anchovy,24.37,2.51,0.1
Goldspotted grenadier anchovy,25.36,2.82,0.11
Goldspotted grenadier anchovy,24.44,2.72,0.11
Goldspotted grenadier anchovy,25.15,2.66,0.11
Goldspotted grenadier anchovy,24.74,2.09,0.08
Goldspotted grenadier anchovy,24.59,2.49,0.1
Goldspotted grenadier anchovy,23.49,2.33,0.1
Goldspotted grenadier anchovy,23.33,3.15,0.13
Goldspotted grenadier anchovy,23.98,3.16,0.13
Goldspotted grenadier anchovy,24.98,2.86,0.11
Goldspotted grenadier anchovy,23.42,2.44,0.1
Goldspotted grenadier anchovy,23.46,2.87,0.12
Goldspotted grenadier anchovy,24.89,2.77,0.11
Goldspotted grenadier anchovy,25.16,3.0,0.12
Goldspotted grenadier anchovy,24.75,2.93,0.12
Goldspotted grenadier anchovy,24.74,2.84,0.11
Goldspotted grenadier anchovy,24.54,3.43,0.14
Goldspotted grenadier anchovy,24.56,2.67,0.11
Goldspotted grenadier anchovy,24.66,2.91,0.12
Goldspotted grenadier anchovy,24.36,2.85,0.12
Goldspotted grenadier anchovy,24.36,2.88,0.12
Goldspotted grenadier anchovy,24.41,2.62,0.11
Goldspotted grenadier anchovy,24.97,2.63,0.11
Goldspotted grenadier anchovy,23.3,2.46,0.11
Goldspotted grenadier anchovy,25.28,3.02,0.12
Goldspotted grenadier anchovy,23.87,2.72,0.11
Goldspotted grenadier anchovy,23.65,2.74,0.12
Goldspotted grenadier anchovy,25.64,2.83,0.11
Goldspotted grenadier anchovy,24.98,2.52,0.1
Goldspotted grenadier anchovy,22.69,2.76,0.12
Goldspotted grenadier anchovy,23.51,2.88,0.12
Goldspotted grenadier anchovy,24.1,2.71,0.11
Goldspotted grenadier anchovy,23.51,2.3,0.1
Goldspotted grenadier anchovy,23.46,2.64,0.11
Goldspotted grenadier anchovy,24.11,2.94,0.12
Goldspotted grenadier anchovy,25.47,2.94,0.12
Goldspotted grenadier anchovy,25.44,2.48,0.1
Goldspotted grenadier anchovy,24.46,2.83,0.12
Goldspotted grenadier anchovy,23.78,2.71,0.11
Goldspotted grenadier anchovy,24.5,2.67,0.11
Goldspotted grenadier anchovy,23.74,2.75,0.12
Goldspotted grenadier anchovy,24.62,3.15,0.13
Goldspotted grenadier anchovy,23.05,2.86,0.12
Goldspotted grenadier anchovy,24.21,2.95,0.12
Goldspotted grenadier anchovy,24.2,2.57,0.11
Goldspotted grenadier anchovy,24.97,2.53,0.1
Goldspotted grenadier anchovy,23.83,3.03,0.13
Goldspotted grenadier anchovy,25.1,2.86,0.11
Goldspotted grenadier anchovy,24.56,2.49,0.1
Goldspotted grenadier anchovy,24.0,3.07,0.13
Goldspotted grenadier anchovy,25.32,2.92,0.12
Goldspotted grenadier anchovy,25.48,2.52,0.1
Goldspotted grenadier anchovy,23.58,2.58,0.11
Goldspotted grenadier anchovy,24.68,2.58,0.1
Goldspotted grenadier anchovy,25.05,3.14,0.13
Goldspotted grenadier anchovy,24.09,2.82,0.12
Goldspotted grenadier anchovy,25.47,2.76,0.11
Goldspotted grenadier anchovy,24.55,2.35,0.1
Goldspotted grenadier anchovy,25.46,3.36,0.13
Goldspotted grenadier anchovy,24.75,2.32,0.09
Goldspotted grenadier anchovy,24.74,2.93,0.12
Goldspotted grenadier anchovy,23.92,2.97,0.12
Goldspotted grenadier anchovy,24.17,2.76,0.11
Goldspotted grenadier anchovy,23.47,2.93,0.13
Goldspotted grenadier anchovy,24.37,2.74,0.11
Goldspotted grenadier anchovy,23.93,2.86,0.12
Goldspotted grenadier anchovy,25.68,2.79,0.11
Goldspotted grenadier anchovy,24.86,2.85,0.11
Goldspotted grenadier anchovy,24.58,2.67,0.11
Goldspotted grenadier anchovy,25.59,2.95,0.12
Goldspotted grenadier anchovy,24.52,3.18,0.13
Goldspotted grenadier anchovy,24.24,2.64,0.11
Goldspotted grenadier anchovy,24.63,3.1,0.13
Goldspotted grenadier anchovy,24.87,2.74,0.11
Goldspotted grenadier anchovy,24.09,2.85,0.12
Goldspotted grenadier anchovy,24.16,2.63,0.11
Goldspotted grenadier anchovy,24.54,2.77,0.11
Goldspotted grenadier anchovy,25.14,2.6,0.1
Goldspotted grenadier anchovy,24.72,3.17,0.13
Goldspotted grenadier anchovy,23.91,2.56,0.11
Goldspotted grenadier anchovy,24.28,2.98,0.12
Goldspotted grenadier anchovy,24.29,2.59,0.11
Goldspotted grenadier anchovy,24.53,2.65,0.11
Goldspotted grenadier anchovy,24.7,2.97,0.12
Goldspotted grenadier anchovy,24.86,2.46,0.1
Goldspotted grenadier anchovy,24.3,3.16,0.13
Goldspotted grenadier anchovy,23.85,2.94,0.12
Goldspotted grenadier anchovy,24.71,2.89,0.12
Goldspotted grenadier anchovy,24.34,2.77,0.11
Goldspotted grenadier anchovy,24.54,2.36,0.1
Goldspotted grenadier anchovy,23.9,2.57,0.11
Goldspotted grenadier anchovy,24.64,2.98,0.12
Goldspotted grenadier anchovy,23.98,3.3,0.14
Goldspotted grenadier anchovy,24.0,3.17,0.13
Goldspotted grenadier anchovy,24.15,3.12,0.13
Goldspotted grenadier anchovy,24.21,2.49,0.1
Goldspotted grenadier anchovy,25.17,2.6,0.1
Goldspotted grenadier anchovy,24.58,2.51,0.1
Goldspotted grenadier anchovy,24.96,2.48,0.1
Goldspotted grenadier anchovy,24.22,2.51,0.1
Goldspotted grenadier anchovy,25.15,2.82,0.11
Goldspotted grenadier anchovy,24.1,2.62,0.11
Goldspotted grenadier anchovy,24.23,2.86,0.12
Goldspotted grenadier anchovy,24.47,2.9,0.12
Goldspotted grenadier anchovy,24.99,2.81,0.11
Goldspotted grenadier anchovy,24.1,2.69,0.11
Goldspotted grenadier anchovy,23.94,3.02,0.13
Goldspotted grenadier anchovy,24.04,3.03,0.13
Goldspotted grenadier anchovy,24.82,2.97,0.12
Goldspotted grenadier anchovy,25.04,2.68,0.11
Goldspotted grenadier anchovy,24.55,2.92,0.12
Goldspotted grenadier anchovy,24.62,2.68,0.11
